epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.0058,1.4729,3.18767,1.35952,0.19232,0.34225,0.16027,0.09056,1.45301,2.67524,1.62063,0.000545744,0.000545744,0.000545744
2,163.734,1.36804,1.68612,1.24521,0.06853,0.3842,0.10871,0.07013,1.52134,16.0849,2.00092,0.000992371,0.000992371,0.000992371
3,265.471,1.33148,1.54902,1.22721,0.23215,0.4941,0.24033,0.15458,1.44938,27.5033,1.50326,0.00132898,0.00132898,0.00132898
4,372.784,1.28795,1.46419,1.22319,0.15333,0.64849,0.13131,0.08212,1.40251,3.28421,1.52553,0.0011719,0.0011719,0.0011719
5,493.61,1.24034,1.37947,1.19794,0.11249,0.28452,0.05444,0.03188,2.01422,7.76087,3.04183,0.00100687,0.00100687,0.00100687
6,620.343,1.19794,1.3053,1.16246,0.42423,0.69532,0.42722,0.27948,1.27821,1.48447,1.18891,0.000841835,0.000841835,0.000841835
7,732.19,1.10667,1.26356,1.12445,0.42935,0.80335,0.46351,0.32359,1.08113,1.26478,1.06165,0.000676802,0.000676802,0.000676802
8,846.576,1.10257,1.21867,1.11162,0.45378,0.80441,0.47948,0.34682,1.05235,1.20644,1.0583,0.000511769,0.000511769,0.000511769
9,934.689,1.04263,1.15537,1.0696,0.44361,0.81336,0.47398,0.34086,1.04995,1.1839,1.06835,0.000346736,0.000346736,0.000346736
10,1039.56,0.9706,1.11529,1.04484,0.47305,0.79963,0.49261,0.36116,0.99277,1.14373,1.03259,0.000181703,0.000181703,0.000181703
